Producto;Costo de Producción (ARS);Precio Sugerido (ARS);Precio MercadoLibre (ARS)
Dakimakura 100x29cm (Doble);8148,00;21740,40;27610,31
Dakimakura 100x29cm (Simple);6648,00;18290,40;23228,81
Dak. 85cm Simple;6203,50;17268,05;21930,42
Dak. (Funda + Almohada) 95cm Doble;7403,50;20028,05;25435,62
Dak. (Funda + Almohada) 140cm Simple;10911,00;28095,30;35681,03
Dak. (Funda + Almohada) 140cm Doble;12411,00;31545,30;40062,53
Almohada 20cm x 20cm;1046,00;5405,80;6865,37
Almohada 20cm x 25cm;1073,50;5469,05;6945,69
Almohada Daki 60x20cm;4150,00;12545,00;15932,15
Almohada 30cm x 20cm;1316,00;6026,80;7654,04
Almohada 30cm x 40cm;1836,00;7222,80;9172,96
Almohadas con Forma;1270,50;5922,15;7521,13
Scrunchies;470,50;4082,15;5184,33
Funda 100cm x 30cm (Simple);3147,75;10239,83;13004,58
Funda 100cm x 30cm (Doble);4647,75;13689,82;17386,08
Funda 140cm x 40cm (Simple);4411,00;13145,30;16694,53
Funda 140cm x 40cm (Doble);5911,00;16595,30;21076,03
Cartuchera;1632,50;6754,75;8578,53
Mousepad;1500,00;6450,00;8191,50
Mousepad XL;4000,00;12200,00;15494,00
Cuadernillo A4;4790,00;14017,00;17801,59
Taza Ceramica;4980,00;14454,00;18356,58
Taza Plastica;1248,00;5870,40;7455,41
Jarro Termico;3665,00;11429,50;14515,47
Vinilo para SUBE;450,00;4035,00;5124,45
Vinilo A4;930,00;5139,00;6526,53
Credencial;720,00;4656,00;5913,12
Remera Spum;5100,00;14730,00;18707,10
Reloj;8600,00;22780,00;28930,60
Posa Vasos;1820,00;7186,00;9126,22
Metal 15 x 20;1985,00;7565,50;9608,18
Metal 60 x 30;14750,00;36925,00;46894,75
Portaretrato 18x13;2680,00;9164,00;11638,28
Individual cordura 30X40;960,00;5208,00;6614,16
Acrilico;4625,00;13637,50;17319,62
Porta Llave;965,00;5219,50;6628,77
Mate Listo;3700,00;11510,00;14617,70
Antifaz P/ Dormir;1650,00;6795,00;8629,65
Delantal de Cocina;2800,00;9440,00;11988,80
Cuadro de Tela 35 x 15;5300,00;15190,00;19291,30
Mate Color c/ bombilla;2265,00;8209,50;10426,07
Set de Mate completo;9730,00;25379,00;32231,33
Cartel Madera 25x11cm;2060,00;7738,00;9827,26
Pines;580,00;4334,00;5504,18
Lata de metal;470,00;4081,00;5182,87
Cinta p/ llave;610,00;4403,00;5591,81
