sku;titulo;personaje;serie;precio_lista;precio_ml;largo_titulo;color;fotos;descripcion;marca;modelo;largo;altura;relleno
DAKI85-KAFKA;Dakimakura 85cm Simple Kafka Honkai Star Rail;Kafka;Honkai Star Rail;16599;26497;45;Blanco;https://i.postimg.cc/44F1tXPX/kafka.png;Dakimakura 85cm Simple de Kafka (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-KAFKA;28;85;Fibra siliconada
DAKI85-FIREF;Dakimakura 85cm Simple Firefly Honkai Star Rail;Firefly;Honkai Star Rail;16599;26497;47;Blanco;https://example.com/firefly.jpg;Dakimakura 85cm Simple de Firefly (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-FIREF;28;85;Fibra siliconada
DAKI85-ACHER;Dakimakura 85cm Simple Acheron Honkai Star Rail;Acheron;Honkai Star Rail;16599;26497;47;Blanco;https://example.com/acheron.jpg;Dakimakura 85cm Simple de Acheron (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ACHER;28;85;Fibra siliconada
DAKI85-MARCH;Dakimakura 85cm Simple March 7th Honkai Star Rail;March 7th;Honkai Star Rail;16599;26497;49;Blanco;https://example.com/march7th.jpg;Dakimakura 85cm Simple de March 7th (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MARCH;28;85;Fibra siliconada
DAKI85-JINGL;Dakimakura 85cm Simple Jingliu Honkai Star Rail;Jingliu;Honkai Star Rail;16599;26497;47;Blanco;https://example.com/jingliu.jpg;Dakimakura 85cm Simple de Jingliu (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-JINGL;28;85;Fibra siliconada
DAKI85-SPARK;Dakimakura 85cm Simple Sparkle Honkai Star Rail;Sparkle;Honkai Star Rail;16599;26497;47;Blanco;https://example.com/sparkle.jpg;Dakimakura 85cm Simple de Sparkle (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-SPARK;28;85;Fibra siliconada
DAKI85-RUANM;Dakimakura 85cm Simple Ruan Mei Honkai Star Rail;Ruan Mei;Honkai Star Rail;16599;26497;48;Blanco;https://example.com/ruanmei.jpg;Dakimakura 85cm Simple de Ruan Mei (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-RUANM;28;85;Fibra siliconada
DAKI85-BLACK;Dakimakura 85cm Simple Black Swan Honkai Star Rail;Black Swan;Honkai Star Rail;16599;26497;50;Blanco;https://example.com/blackswan.jpg;Dakimakura 85cm Simple de Black Swan (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-BLACK;28;85;Fibra siliconada
DAKI85-BLADE;Dakimakura 85cm Simple Blade Honkai Star Rail;Blade;Honkai Star Rail;16599;26497;45;Blanco;https://example.com/blade.jpg;Dakimakura 85cm Simple de Blade (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-BLADE;28;85;Fibra siliconada
DAKI85-DANHE;Dakimakura 85cm Simple Dan Heng Honkai Star Rail;Dan Heng;Honkai Star Rail;16599;26497;48;Blanco;https://example.com/danheng.jpg;Dakimakura 85cm Simple de Dan Heng (Honkai Star Rail). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-DANHE;28;85;Fibra siliconada
DAKI85-RAIDE;Dakimakura 85cm Simple Raiden Shogun Genshin Impact;Raiden Shogun;Genshin Impact;16599;26497;51;Blanco;https://example.com/raiden.jpg;Dakimakura 85cm Simple de Raiden Shogun (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-RAIDE;28;85;Fibra siliconada
DAKI85-HUTAO;Dakimakura 85cm Simple Hu Tao Genshin Impact;Hu Tao;Genshin Impact;16599;26497;44;Blanco;https://example.com/hutao.jpg;Dakimakura 85cm Simple de Hu Tao (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-HUTAO;28;85;Fibra siliconada
DAKI85-FURIN;Dakimakura 85cm Simple Furina Genshin Impact;Furina;Genshin Impact;16599;26497;44;Blanco;https://example.com/furina.jpg;Dakimakura 85cm Simple de Furina (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-FURIN;28;85;Fibra siliconada
DAKI85-YELAN;Dakimakura 85cm Simple Yelan Genshin Impact;Yelan;Genshin Impact;16599;26497;43;Blanco;https://example.com/yelan.jpg;Dakimakura 85cm Simple de Yelan (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-YELAN;28;85;Fibra siliconada
DAKI85-GANYU;Dakimakura 85cm Simple Ganyu Genshin Impact;Ganyu;Genshin Impact;16599;26497;43;Blanco;https://example.com/ganyu.jpg;Dakimakura 85cm Simple de Ganyu (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-GANYU;28;85;Fibra siliconada
DAKI85-SHENH;Dakimakura 85cm Simple Shenhe Genshin Impact;Shenhe;Genshin Impact;16599;26497;44;Blanco;https://example.com/shenhe.jpg;Dakimakura 85cm Simple de Shenhe (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-SHENH;28;85;Fibra siliconada
DAKI85-ARLEC;Dakimakura 85cm Simple Arlecchino Genshin Impact;Arlecchino;Genshin Impact;16599;26497;48;Blanco;https://example.com/arlecchino.jpg;Dakimakura 85cm Simple de Arlecchino (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ARLEC;28;85;Fibra siliconada
DAKI85-NAHID;Dakimakura 85cm Simple Nahida Genshin Impact;Nahida;Genshin Impact;16599;26497;44;Blanco;https://example.com/nahida.jpg;Dakimakura 85cm Simple de Nahida (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-NAHID;28;85;Fibra siliconada
DAKI85-ZHONG;Dakimakura 85cm Simple Zhongli Genshin Impact;Zhongli;Genshin Impact;16599;26497;45;Blanco;https://example.com/zhongli.jpg;Dakimakura 85cm Simple de Zhongli (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ZHONG;28;85;Fibra siliconada
DAKI85-NEUVI;Dakimakura 85cm Simple Neuvillette Genshin Impact;Neuvillette;Genshin Impact;16599;26497;49;Blanco;https://example.com/neuvillette.jpg;Dakimakura 85cm Simple de Neuvillette (Genshin Impact). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-NEUVI;28;85;Fibra siliconada
DAKI85-REM;Dakimakura 85cm Simple Rem Re:Zero;Rem;Re:Zero;16599;26497;34;Blanco;;Dakimakura 85cm Simple de Rem (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-REM;28;85;Fibra siliconada
DAKI85-RAM;Dakimakura 85cm Simple Ram Re:Zero;Ram;Re:Zero;16599;26497;34;Blanco;;Dakimakura 85cm Simple de Ram (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-RAM;28;85;Fibra siliconada
DAKI85-EMILI;Dakimakura 85cm Simple Emilia Re:Zero;Emilia;Re:Zero;16599;26497;37;Blanco;;Dakimakura 85cm Simple de Emilia (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-EMILI;28;85;Fibra siliconada
DAKI85-ECHID;Dakimakura 85cm Simple Echidna Re:Zero;Echidna;Re:Zero;16599;26497;38;Blanco;;Dakimakura 85cm Simple de Echidna (Re:Zero). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-ECHID;28;85;Fibra siliconada
DAKI85-GOJOS;Dakimakura 85cm Simple Gojo Satoru Jujutsu Kaisen;Gojo Satoru;Jujutsu Kaisen;16599;26497;49;Blanco;;Dakimakura 85cm Simple de Gojo Satoru (Jujutsu Kaisen). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-GOJOS;28;85;Fibra siliconada
DAKI85-TOJIF;Dakimakura 85cm Simple Toji Fushiguro Jujutsu Kaisen;Toji Fushiguro;Jujutsu Kaisen;16599;26497;52;Blanco;;Dakimakura 85cm Simple de Toji Fushiguro (Jujutsu Kaisen). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-TOJIF;28;85;Fibra siliconada
DAKI85-RYOME;Dakimakura 85cm Simple Ryomen Sukuna Jujutsu Kaisen;Ryomen Sukuna;Jujutsu Kaisen;16599;26497;51;Blanco;;Dakimakura 85cm Simple de Ryomen Sukuna (Jujutsu Kaisen). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-RYOME;28;85;Fibra siliconada
DAKI85-MAKIZ;Dakimakura 85cm Simple Maki Zenin Jujutsu Kaisen;Maki Zenin;Jujutsu Kaisen;16599;26497;48;Blanco;;Dakimakura 85cm Simple de Maki Zenin (Jujutsu Kaisen). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MAKIZ;28;85;Fibra siliconada
DAKI85-NOBAR;Dakimakura 85cm Simple Nobara Kugisaki Jujutsu Kaisen;Nobara Kugisaki;Jujutsu Kaisen;16599;26497;53;Blanco;;Dakimakura 85cm Simple de Nobara Kugisaki (Jujutsu Kaisen). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-NOBAR;28;85;Fibra siliconada
DAKI85-NEZUK;Dakimakura 85cm Simple Nezuko Kamado Demon Slayer;Nezuko Kamado;Demon Slayer;16599;26497;49;Blanco;;Dakimakura 85cm Simple de Nezuko Kamado (Demon Slayer). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-NEZUK;28;85;Fibra siliconada
DAKI85-MITSU;Dakimakura 85cm Simple Mitsuri Kanroji Demon Slayer;Mitsuri Kanroji;Demon Slayer;16599;26497;51;Blanco;;Dakimakura 85cm Simple de Mitsuri Kanroji (Demon Slayer). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MITSU;28;85;Fibra siliconada
DAKI85-SHINO;Dakimakura 85cm Simple Shinobu Kocho Demon Slayer;Shinobu Kocho;Demon Slayer;16599;26497;49;Blanco;;Dakimakura 85cm Simple de Shinobu Kocho (Demon Slayer). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-SHINO;28;85;Fibra siliconada
DAKI85-KANAO;Dakimakura 85cm Simple Kanao Tsuyuri Demon Slayer;Kanao Tsuyuri;Demon Slayer;16599;26497;49;Blanco;;Dakimakura 85cm Simple de Kanao Tsuyuri (Demon Slayer). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-KANAO;28;85;Fibra siliconada
DAKI85-MAKIM;Dakimakura 85cm Simple Makima Chainsaw Man;Makima;Chainsaw Man;16599;26497;42;Blanco;;Dakimakura 85cm Simple de Makima (Chainsaw Man). Confeccionado en tela de alta calidad, estampado HD y relleno suave.;Genérica;DAKI85-MAKIM;28;85;Fibra siliconada
